,Date,Team,Acquired,Relinquished,Notes
627,1988-02-23,Cavaliers,, Kent Benson,placed on IL with elbow inflammation
630,1988-02-26,Suns,, Craig Hodges,placed on IL with sore right Achilles tendon
631,1988-02-27,Nets,, Orlando Woolridge,placed on restricted list (player admitted to cocaine addiction and entered drug rehab clinic)
632,1988-02-29,Blazers,, Kiki Vandeweghe,placed on IL with strained lower back
633,1988-03-02,76ers,, Andrew Toney,placed on IL with recurring foot injury
634,1988-03-02,Knicks,, Rick Carlisle,placed on IL
636,1988-03-03,Clippers,, Joe Wolf,placed on IL
638,1988-03-19,Clippers,, Reggie Williams,placed on IL with sprained ligament in right knee
642,1988-03-30,Lakers,, Billy Thompson,placed on IL
643,1988-04-01,Kings,, LaSalle Thompson,placed on IL with torn lateral meniscus in right knee (out for season)
645,1988-04-04,Suns,, Jeff Cook,placed on IL with elbow and back injuries
647,1988-10-21,Jazz,, Bobby Hansen,placed on IL with broken left hand (date approximate)
648,1988-11-02,Nuggets,, Bill Hanzlik,placed on IL with back injury
649,1988-11-02,Nuggets,, Calvin Natt,placed on IL
650,1988-11-02,Nuggets,, Maurice Martin / Mo Martin,placed on IL recovering from surgery on right knee
651,1988-11-03,Bulls,, Charles Davis / Charlie Davis) (E.),placed on IL
652,1988-11-03,Bulls,, Scottie Pippen (Sr.),placed on IL
653,1988-11-03,Cavaliers,, Gary Voce,placed on IL
654,1988-11-03,Mavericks,, Detlef Schrempf,placed on IL
655,1988-11-03,Pacers,, John Long,placed on IL
656,1988-11-03,Pacers,, Steve Stipanovich,placed on IL recovering from arthroscopic surgery on left knee
658,1988-11-21,Bucks,, Jay Humphries,placed on IL
662,1988-11-29,Rockets,, Bernard Thompson,placed on IL
664,1988-12-01,Bucks,, Jeff Grayer,placed on IL
669,1988-12-13,Nets,, Walter Berry,placed on IL
671,1988-12-13,Nuggets,, Jay Vincent,placed on IL
675,1988-12-16,Hornets,, Rex Chapman,placed on IL with strained back
678,1988-12-27,Blazers,, Craig Neal,placed on IL with injuries suffered in car accident
680,1988-12-27,Suns,, Dan Majerle,placed on IL
681,1988-12-28,Nets,, Keith Lee,placed on IL
682,1988-12-31,Heat,, Sylvester Gray,placed on IL recovering from surgery on thumb
683,1989-01-01,Spurs,, Johnny Dawkins,placed on IL with nerve damage in left leg (date approximate)
684,1989-01-02,Nuggets,, Jay Vincent,placed on IL with swollen foot
685,1989-01-03,Blazers,, Rolando Ferreira,placed on IL
687,1989-01-12,Pistons,, Joe Dumars,placed on IL with broken middle finger on left hand
688,1989-01-14,Rockets,, Buck Johnson,placed on IL with deep thigh bruise (date approximate)
690,1989-02-07,Nets,, John Bagley,placed on IL
692,1989-02-14,Hawks,, Dudley Bradley,placed on IL with swollen knee
696,1989-03-03,Suns,, Eddie Johnson (Lee),placed on IL
698,1989-03-04,Warriors,, John Starks,placed on IL
701,1989-03-09,Celtics,, Ramon Rivas,placed on IL with back spasms
702,1989-03-10,Bucks,, Mark Davis (Giles),placed on IL with strained lower back (date approximate)
703,1989-03-10,Bucks,, Tito Horford,placed on IL with hammer toes on left foot
704,1989-03-21,Bucks,, Paul Pressey,placed on IL with sprained ankle
706,1989-03-22,Heat,, Pat Cummings,placed on IL with stress fracture of left tibia
707,1989-04-05,Blazers,, Clinton Wheeler,placed on IL
708,1989-04-05,Blazers,, Danny Young,placed on IL
710,1989-04-10,Blazers,, Mark Bryant,placed on IL
712,1989-04-16,Bulls,, Craig Hodges,placed on IL
713,1989-04-20,76ers,, Bob Thornton,placed on IL (date approximate)
715,1989-11-02,Bulls,, Jeff Sanders,placed on IL
716,1989-11-24,Celtics,, John Bagley,placed on IL
717,1989-11-25,Kings,, Ralph Sampson,placed on IL for rehabilitation of knees
718,1989-11-27,76ers,, Lanard Copeland,placed on IL
721,1989-12-05,Cavaliers,, John Morton,placed on IL
723,1989-12-14,Rockets,, Tim McCormick,placed on IL
725,1989-12-16,Kings,, Pervis Ellison,placed on IL after doctor prescribed rest
728,1990-01-02,Cavaliers,, Wayne Rollins / Tree Rollins,placed on IL with sprained left knee
730,1990-01-02,Magic,, Jerry Reynolds (b. 1962-12-23),placed on IL
732,1990-01-04,Hawks,, Cliff Levingston,placed on IL
734,1990-01-06,Hawks,, John Battle,placed on IL
735,1990-01-10,76ers,, Kenny Payne,placed on IL with shin splints
736,1990-01-10,Cavaliers,, Winston Bennett,placed on IL with sore left thigh
737,1990-01-11,Timberwolves,, Steve Johnson,placed on IL with stomach ulcer
740,1990-01-17,Clippers,, Ron Harper (Sr.),placed on IL with torn ACL in knee
744,1990-01-26,Pacers,, Calvin Natt,placed on IL
746,1990-01-30,Cavaliers,, Paul Mokeski,placed on IL
748,1990-02-02,Sonics,, Sedale Threatt,placed on IL
749,1990-02-04,Bucks,, Tito Horford,placed on IL
753,1990-02-22,Magic,, Otis Smith,placed on IL
754,1990-02-23,Kings,, Michael Jackson,placed on IL
756,1990-02-26,Rockets,, Byron Dinkins,placed on IL
757,1990-02-27,Bucks,, Ben Coleman,placed on IL
760,1990-03-09,Sonics,, Quintin Dailey,placed on IL
762,1990-03-11,Knicks,, Kenny Walker,placed on IL
764,1990-03-16,Bucks,, Jack Sikma,placed on IL
767,1990-03-20,Knicks,, Greg Butler,placed on IL
769,1990-03-25,Bulls,, Craig Hodges,placed on IL with strained lower back
771,1990-04-08,Mavericks,, Brad Davis,placed on IL
773,1990-04-14,Hornets,, Brian Rowsom,placed on IL
775,1990-04-19,Bucks,, Ricky Pierce,placed on IL
777,1990-04-21,Pacers,, Dyron Nix,placed on IL
779,1990-04-23,Knicks,, Greg Butler,"""deactivated"""
781,1990-10-30,Nets,, Roy Hinson,placed on IL
782,1990-10-30,Suns,, Andrew Lang,placed on IL
783,1990-10-30,Suns,, Negele Knight,placed on IL
784,1990-10-30,Suns,, Ricky Blanton,placed on IL
785,1990-10-31,Kings,, Anthony Bonner,placed on IL with stress fracture in left foot
786,1990-10-31,Nuggets,, Stephen Thompson / Stevie Thompson,placed on IL
787,1990-10-31,Warriors,, Bart Kofoed,placed on IL
788,1990-10-31,Warriors,, Jim Petersen,placed on IL
789,1990-11-01,Cavaliers,, Milos Babic,placed on IL
790,1990-11-01,Knicks,, John Starks,placed on IL
791,1990-11-01,Knicks,, Kenny Walker,placed on IL
792,1990-11-01,Lakers,, Irving Thomas,placed on IL
793,1990-11-01,Rockets,, Buck Johnson,placed on IL
794,1990-11-01,Rockets,, Matt Bullard,placed on IL
795,1990-11-10,Warriors,, Mike Smrek,placed on IL with bruised ribs
798,1990-11-13,Clippers,, Danny Manning,placed on IL with patella tendinitis in right knee
800,1990-11-16,Sonics,, Dale Ellis,transferred from suspended list to IL
801,1990-11-16,Suns,, Ian Lockhart,"placed on IL with knee, ankle injuries"
803,1990-11-19,Rockets,, Adrian Caldwell,placed on IL with eye injury
804,1990-11-20,Nuggets,, Marcus Liberty,placed on IL
807,1990-11-21,Cavaliers,, John Williams / Hot Rod Williams,placed on IL with sprained left foot
809,1990-11-21,Suns,, Tim Perry,placed on IL
811,1990-11-25,Clippers,, Ken Norman,placed on IL
814,1990-11-27,Bullets,, Larry Robinson (b. 1968-01-11),placed on IL
815,1990-11-28,Kings,, Steve Colter,placed on IL with surgery on left ankle
816,1990-12-01,Lakers,, Tony Brown (William),placed on IL
818,1990-12-04,Magic,, Sam Vincent,placed on IL
821,1990-12-05,Suns,, Andrew Lang,placed on IL
823,1990-12-06,Timberwolves,, Bob Thornton,placed on IL with fractured wrist
825,1990-12-13,Cavaliers,, Winston Bennett,placed on IL
826,1990-12-18,Kings,, Bobby Hansen,placed on IL with torn cartilage in left knee
827,1990-12-18,Knicks,, Maurice Cheeks,placed on IL
828,1990-12-18,Knicks,, Stuart Gray,placed on IL
831,1990-12-19,Mavericks,, Herb Williams,placed on IL
834,1990-12-22,Nuggets,, Orlando Woolridge,placed on IL recovering from surgery on right eye to repair detached retina (date approximate)
837,1990-12-26,Suns,, Kenny Battle,placed on IL
839,1990-12-27,Celtics,, Derek Smith,placed on IL
840,1990-12-30,Mavericks,, Lafayette Lever / Fat Lever,placed on IL
841,1991-01-04,Nets,, Tate George,placed on IL
844,1991-01-07,Heat,, Rony Seikaly,placed on IL
845,1991-01-09,Sonics,, Quintin Dailey,placed on IL with right hamstring injury
847,1991-01-13,Knicks,, Eddie Lee Wilkins,placed on IL
849,1991-01-13,Nets,, Derrick Gervin,placed on IL
851,1991-01-14,Hornets,, Kenny Gattison,placed on IL
852,1991-01-14,Kings,, Wayman Tisdale,placed on IL with torn tendon in right foot
853,1991-01-14,Rockets,, Hakeem Olajuwon,placed on IL recovering from surgery on right eye (date approximate)
854,1991-01-21,Hornets,, Randolph Keys,placed on IL with broken finger
855,1991-01-21,Hornets,, Rex Chapman,placed on IL with sprained left ankle
856,1991-01-22,Pacers,, Rik Smits,placed on IL with bone chips in right elbow
859,1991-01-23,Nets,, Sam Bowie,placed on IL with bruised right shin
861,1991-01-25,Clippers,, Tom Garrick,placed on IL
863,1991-01-25,Nets,, Roy Hinson,placed on IL
865,1991-01-25,Pistons,, Isiah Thomas,placed on IL with right wrist injury
867,1991-01-27,Suns,, Kurt Rambis,placed on IL
868,1991-01-28,76ers,, David Hoppen / Dave Hoppen,placed on IL
872,1991-02-03,Spurs,, Rod Strickland,placed on IL with fractured right hand
875,1991-02-06,Bullets,, Haywoode Workman,placed on IL
876,1991-02-06,Cavaliers,, Milos Babic,placed on IL
880,1991-02-11,Nuggets,, Todd Lichti,placed on IL with knee injury
881,1991-02-15,Heat,, Jon Sundvold,placed on IL with pneumonia and sinusitis
883,1991-02-17,Nets,, Kurk Lee,placed on IL
886,1991-02-19,Suns,, Tim Perry,placed on IL
887,1991-02-21,Lakers,, Sam Perkins,placed on IL
888,1991-02-25,Warriors,, Tom Tolbert,placed on IL
890,1991-02-26,Bucks,, Steve Henson,placed on IL
891,1991-02-26,Bullets,, Mark Alarie,placed on IL
893,1991-02-26,Cavaliers,, Derrick Chievous,placed on IL with back spasms
895,1991-02-27,Kings,, Anthony Bonner,placed on IL
897,1991-02-28,Jazz,, Theodore Edwards / Blue Edwards,placed on IL
898,1991-02-28,Kings,, Ralph Sampson,placed on IL with strained tendons in right forefoot
899,1991-02-28,Rockets,, Matt Bullard,placed on IL
901,1991-03-04,Celtics,, Dave Popson,placed on IL with bone spur in left foot
902,1991-03-05,Clippers,, Ken Norman,placed on IL
905,1991-03-06,Knicks,, Jerrod Mustaf,placed on IL
907,1991-03-06,Pistons,, Lance Blanks,placed on IL
909,1991-03-13,Hawks,, Trevor Wilson,placed on IL
910,1991-03-17,Suns,, Joe Barry Carroll,placed on IL
912,1991-03-19,Spurs,, Tony Massenburg,placed on IL
914,1991-03-20,Nets,, Chris Dudley,placed on IL
916,1991-03-27,Clippers,, Ken Bannister,placed on IL
918,1991-03-29,Knicks,, Gerald Wilkins,placed on IL
920,1991-04-02,Rockets,, Dave Feitl,placed on IL with sprained ankle
921,1991-04-02,Spurs,, Dwayne Schintzius,placed on IL with back spasms
926,1991-04-13,Nets,, Sam Bowie,placed on IL
928,1991-04-18,76ers,, Kenny Payne,placed on IL
929,1991-04-18,Bullets,, Charles Jones,placed on IL with pulled left groin
930,1991-04-20,Cavaliers,, Brad Daugherty,placed on IL with broken left middle finger
932,1991-04-21,Suns,, Tim Perry,placed on IL
934,1991-10-29,Blazers,, Ennis Whatley,placed on IL with broken right ankle
935,1991-10-29,Blazers,, Lamont Strothers,placed on IL
936,1991-10-31,76ers,, Manute Bol,placed on IL
937,1991-10-31,Bucks,, Bobby Phills,placed on IL
938,1991-10-31,Cavaliers,, John Battle,placed on IL
939,1991-10-31,Cavaliers,, Mark Price,placed on IL
940,1991-10-31,Celtics,, Stojko Vrankovic,placed on IL
941,1991-10-31,Knicks,, Patrick Eddie,placed on IL
942,1991-10-31,Pistons,, Bob McCann,placed on IL
943,1991-10-31,Warriors,, Jim Petersen,placed on IL
944,1991-10-31,Warriors,, Les Jepsen,placed on IL
945,1991-11-07,Bulls,, Craig Hodges,placed on IL with sprained left knee
946,1991-11-13,Sonics,, Shawn Kemp,placed on IL
948,1991-11-17,Bulls,, Bill Cartwright,placed on IL with broken left hand
949,1991-11-29,Nuggets,, Scott Hastings,placed on IL
951,1991-12-15,76ers,, Brian Oliver,placed on IL
955,1992-01-02,Pistons,, Bob McCann,placed on IL with Achilles tendon injury (date approximate)
956,1992-01-06,Magic,, Otis Smith,placed on IL
957,1992-01-20,Timberwolves,, Tom Garrick,placed on IL
959,1992-01-29,Blazers,, Lamont Strothers,placed on IL with strained rotator cuff in right shoulder
961,1992-02-10,Timberwolves,, Felton Spencer,placed on IL
963,1992-02-13,Kings,, Dwayne Schintzius,placed on IL with herniated disc in lower back
964,1992-02-26,Lakers,, Keith Owens,placed on IL
966,1992-03-01,Clippers,, Glenn Rivers / Doc Rivers,placed on IL
967,1992-03-04,76ers,, David Hoppen / Dave Hoppen,placed on IL
970,1992-03-10,Lakers,, James Worthy,placed on IL
971,1992-03-20,Mavericks,, Derek Harper,placed on IL
973,1992-04-17,Rockets,, Matt Bullard,placed on IL
975,1992-11-05,Cavaliers,, Jay Guidinger,placed on IL
976,1992-11-05,Cavaliers,, Jerome Lane,placed on IL
977,1992-11-05,Celtics,, Kenny Battle,placed on IL with inflamed tendon between fourth and fifth fingers on left hand
978,1992-11-05,Celtics,, Marcus Webb,placed on IL with pulled left groin
979,1992-11-13,Kings,, Anthony Webb / Spud Webb,placed on IL with torn ligaments in left wrist
980,1992-11-18,Celtics,, Ed Pinckney,placed on IL with strained left knee & calf
983,1992-11-19,Nuggets,, Robert Werdann / Rob Werdann,placed on IL
985,1992-12-02,Bulls,, Corey Williams,placed on IL with abdominal strain
987,1992-12-04,Blazers,, Jerome Kersey,placed on IL with sore left knee
988,1992-12-10,Rockets,, Kennard Winchester,placed on IL
991,1992-12-22,Hornets,, Mike Gminski,placed on IL
992,1992-12-23,Hawks,, Dominique Wilkins,placed on IL with broken fourth finger on right hand
993,1992-12-30,Blazers,, Clyde Drexler,placed on IL with sore right knee
994,1992-12-30,Pistons,, Olden Polynice,placed on IL
995,1992-12-30,Suns,, Tim Kempton,placed on IL
997,1992-12-31,Cavaliers,, John Williams / Hot Rod Williams,placed on IL
999,1993-01-08,Bulls,, Scott Williams,placed on IL with right knee tendinitis
1000,1993-01-12,Blazers,, Delaney Rudd,placed on IL with left knee tendinitis
1001,1993-01-18,Bulls,, Rodney McCray,placed on IL with sprained right knee
1004,1993-02-08,Clippers,, Ken Norman,placed on IL with chicken pox
1005,1993-02-08,Knicks,, Eric Anderson (W.),placed on IL
1007,1993-02-10,Bulls,, John Paxson,placed on IL
1009,1993-02-22,Bulls,, Bill Cartwright,placed on IL
1013,1993-02-25,Magic,, Terry Catledge,placed on IL
1015,1993-03-02,Blazers,, Clyde Drexler,placed on IL
1018,1993-03-11,Bucks,, Orlando Woolridge,placed on IL
1020,1993-03-11,Hawks,, Blair Rasmussen,placed on IL
1021,1993-03-19,Bulls,, Trent Tucker,placed on IL
1023,1993-03-23,Blazers,, Kevin Duckworth,placed on IL with sore right knee
1024,1993-03-24,Bulls,, Corey Williams,placed on IL
1026,1993-03-26,Suns,, Jerrod Mustaf,placed on IL with bruised right thigh
1027,1993-03-30,Bulls,, Darrell Walker,placed on IL
1029,1993-04-02,Blazers,, Joe Wolf,placed on IL with upper respiratory infection
1031,1993-04-05,Bucks,, Frank Brickowski,placed on IL
1034,1993-04-10,Nuggets,, Bryant Stith,placed on IL
1037,1993-04-15,Bucks,, Danny Schayes,placed on IL
1039,1993-04-20,Bulls,, Ed Nealy,placed on IL
1041,1993-09-30,Knicks,, Tim McCormick,placed on IL
1042,1993-11-04,Bulls,, John Paxson,placed on IL
1043,1993-11-04,Bulls,, Scott Williams,placed on IL
1044,1993-11-04,Clippers,, Henry James,placed on IL with left knee tendinitis
1045,1993-11-04,Magic,, Anthony Cook,placed on IL with recovering from surgery on right knee
1046,1993-11-08,Bulls,, Scottie Pippen (Sr.),placed on IL
1047,1993-11-09,Cavaliers,, Larry Nance (Sr.),placed on IL
1049,1993-11-24,Cavaliers,, Gerald Madkins,placed on IL
1051,1993-11-30,Bulls,, Will Perdue,placed on IL
1053,1993-12-12,Timberwolves,, Doug West,placed on IL
1055,1993-12-20,Pacers,, Jerome Richardson / Pooh Richardson,placed on IL with stress fracture in right leg (date approximate)
1057,1993-12-30,Hornets,, Larry Johnson (Demetric),placed on IL
1058,1994-01-04,Bulls,, Bill Cartwright,placed on IL
1060,1994-01-05,Knicks,, Hubert Davis,placed on IL
1061,1994-01-05,Lakers,, Sam Bowie,placed on IL
1065,1994-01-12,Mavericks,, Tony Campbell,placed on IL
1067,1994-01-12,Nets,, Rick Mahorn,placed on IL
1069,1994-01-16,Pacers,, Vern Fleming,placed on IL with pulled right hamstring
1071,1994-01-19,Bulls,, Stacey King,placed on IL
1073,1994-02-01,Bulls,, Dave Johnson,placed on IL
1075,1994-02-15,Suns,, Jerrod Mustaf,placed on IL with upper respiratory infection
1076,1994-02-16,Bulls,, Toni Kukoc,placed on IL
1078,1994-02-16,Suns,, Frank Johnson,placed on IL
1082,1994-02-25,Bulls,, Bill Cartwright,placed on IL
1084,1994-02-25,Lakers,, Antonio Harvey,placed on IR with strained left hip muscle
1085,1994-02-26,76ers,, Shawn Bradley,placed on IL recovering from surgery on left knee
1087,1994-03-08,Bulls,, John Paxson,placed on IL
1089,1994-03-10,Heat,, Vernell Coles / Bimbo Coles,placed on IL
1090,1994-03-15,Bulls,, Will Perdue,placed on IL
1093,1994-03-22,Mavericks,, Randy White,placed on IL
1095,1994-03-24,Bullets,, Pervis Ellison,placed on IL
1097,1994-04-08,Bulls,, Bill Cartwright,placed on IL
1099,1994-04-08,Kings,, Walt Williams,spained lower right leg (out for season)
1100,1994-04-09,Bulls,, Jo Jo English,placed on IL
1102,1994-04-21,Magic,, Jeff Turner,placed on IL
1103,1994-04-22,Bulls,, Corie Blount,placed on IL
1105,1994-10-27,Warriors,, Chris Mullin,"placed on IR with chip fracture and strained ligament in left knee, and pulled hamstring (out 6-8 weeks) (date 11/3 per Stats)"
1106,1994-11-01,Nuggets,, LaPhonso Ellis,placed on IR with stress fracture in right kneecap
1107,1994-11-02,Celtics,, Pervis Ellison,placed on IR with injured knees
1108,1994-11-02,Heat,, Keith Askins,placed on IL with left Achilles tendinitis
1109,1994-11-02,Magic,, Greg Grant,placed on IL with hamstring tendinitis
1110,1994-11-02,Mavericks,, Roy Tarpley,placed on IL with bursitis in left knee
1111,1994-11-02,Pacers,, Damon Bailey,placed on IR with chronic tendinitis in both knees
